Symbol;Name;Country;IPO Year;Sector;Industry
A;Agilent Technologies Inc. Common Stock;United States;1999;Capital Goods;Biotechnology: Laboratory Analytical Instruments
AA;Alcoa Corporation Common Stock ;;2016;Basic Industries;Aluminum
AACG;ATA Creativity Global American Depositary Shares;China;;Consumer Services;Other Consumer Services
AACQ;Artius Acquisition Inc. Class A Common Stock;United States;2020;Finance;Business Services
AACQU;Artius Acquisition Inc. Unit ;United States;2020;Finance;Business Services
AACQW;Artius Acquisition Inc Warrant;United States;2020;Finance;Business Services
AAIC;Arlington Asset Investment Corp Class A (new);United States;;Consumer Services;Real Estate Investment Trusts
AAIC.PRB;Arlington Asset Investment Corp;;;;
AAIC.PRC;Arlington Asset Investment Corp;;;;
AAL;American Airlines Group Inc. Common Stock;United States;;Transportation;Air Freight/Delivery Services
AAMC;Altisource Asset Management Corp Com;United States;;Finance;Real Estate
AAME;Atlantic American Corporation Common Stock;United States;;Finance;Life Insurance
AAN;Aarons Holdings Company Inc. Common Stock ;United States;2020;Technology;Diversified Commercial Services
AAOI;Applied Optoelectronics Inc. Common Stock;United States;2013;Technology;Semiconductors
AAON;AAON Inc. Common Stock;United States;;Capital Goods;Industrial Machinery/Components
AAP;Advance Auto Parts Inc Advance Auto Parts Inc W/I;United States;;Consumer Services;Other Specialty Stores
AAPL;Apple Inc. Common Stock;United States;1980;Technology;Computer Manufacturing
AAT;American Assets Trust Inc. Common Stock;United States;2011;Consumer Services;Real Estate Investment Trusts
AAU;Almaden Minerals Ltd. Common Shares;Canada;2015;Basic Industries;Precious Metals
AAWW;Atlas Air Worldwide Holdings NEW Common Stock;United States;;Transportation;Transportation Services
AB;AllianceBernstein Holding L.P.  Units;United States;;Finance;Investment Managers
ABB;ABB Ltd Common Stock;Switzerland;;Consumer Durables;Electrical Products
ABBV;AbbVie Inc. Common Stock;United States;2012;Health Care;Major Pharmaceuticals
ABC;AmerisourceBergen Corporation Common Stock;United States;;Health Care;Other Pharmaceuticals
ABCB;Ameris Bancorp Common Stock;United States;1994;Finance;Major Banks
ABCL;AbCellera Biologics Inc. Common Shares;Canada;2020;Health Care;Major Pharmaceuticals
ABCM;Abcam plc American Depositary Shares;United Kingdom;2020;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ABEO;Abeona Therapeutics Inc. Common Stock;United States;;Health Care;Major Pharmaceuticals
ABEV;Ambev S.A. American Depositary Shares (Each representing 1 Common Share);;2013;Consumer Non-Durables;Beverages (Production/Distribution)
ABG;Asbury Automotive Group Inc Common Stock;United States;2002;Consumer Durables;Automotive Aftermarket
ABIO;ARCA biopharma Inc. Common Stock;United States;;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
